job_title,company_name,city,job_posted,job_type,level_experience,education_min_lvl,industry,min_salary,max_salary,source_job
IT Developer,NTT INDONESIA TECHNOLOGY ,Kolaka,2025-01-15,full time,Fresh Grad / Junior,S1,Information Technology & Services,N/A,N/A,Kalibrr
Back End Developer,PT. Adicipta Inovasi Teknologi (AdIns),Jakarta,2025-02-20,contractual,Mid-Senior Level Manager,S1,Information Technology & Services,N/A,N/A,Kalibrr
Database Administrator,MITech,Jakarta,2024-09-27,contractual,,S1,Information Technology & Services,N/A,N/A,Kalibrr
Sales Executive,Dans Multi Pro,Jakarta,2024-11-20,contractual,,S1,Information Technology & Services,N/A,N/A,Kalibrr
SAP Consultant,PT Astra Graphia Information Technology,Jakarta,2024-10-09,full time,,S1,IT and Software,N/A,N/A,Kalibrr
Data Analyst,Kredit Pintar,Jakarta,2025-02-03,full time,,S1,Financial Technology,N/A,N/A,Kalibrr
IT Compliance Expert,"DOKU, PT NUSA SATU INTI ARTHA",Jakarta,2024-12-24,full time,,S1,Financial Technology,N/A,N/A,Kalibrr
Financial Analytic Specialist,PT BFI Finance Indonesia Tbk,Tangerang,2024-08-26,full time,Fresh Grad / Junior,S1,Financial Technology,N/A,N/A,Kalibrr
Site Reliability Engineer,PT BFI Finance Indonesia Tbk,Tangerang,2024-12-13,full time,Mid-Senior Level Manager,S1,Financial Technology,N/A,N/A,Kalibrr
Front End Developer,PT Midas Daya Teknologi,Jakarta,2025-01-24,full time,Mid-Senior Level Manager,S1,Information Technology & Services,N/A,N/A,Kalibrr
Network Engineer,"PT Metrodata Electronics, Tbk",Jakarta,2025-02-04,full time,,S1,IT and Software,N/A,N/A,Kalibrr
Back End Developer,Code.id,Jakarta,2025-02-04,contractual,,S1,Information Technology & Services,N/A,N/A,Kalibrr
Business Intelligence Developer,DattaBot,Jakarta,2025-01-28,contractual,,S1,Information Technology & Services,10000000,12000000,Kalibrr
Back End Developer,PT. Astra Welab Digital Arta,Jakarta,2024-10-29,full time,,S1,Financial Technology,N/A,N/A,Kalibrr
Android Developer,PT Bumi Amartha Teknologi Mandiri,Jakarta,2025-02-11,contractual,Fresh Grad / Junior,S1,Information Technology & Services,N/A,N/A,Kalibrr
Sales Executive,BOSNET Distribution Indonesia,Jakarta,2024-02-12,full time,Fresh Grad / Junior,S1,Other Industry,N/A,N/A,Kalibrr
Business Intelligence Developer,PT Astra Graphia Information Technology,Jakarta,2024-11-13,full time,Fresh Grad / Junior,S1,IT and Software,N/A,N/A,Kalibrr
Data Engineer,Perqara,Jakarta,2025-01-21,full time,Mid-Senior Level Manager,S1,Information Technology & Services,N/A,N/A,Kalibrr
System Analyst,PT Bumi Amartha Teknologi Mandiri,Jakarta,2025-02-13,contractual,,S1,Information Technology & Services,N/A,N/A,Kalibrr
Product Manager,Kompas Gramedia,Jakarta,2024-10-25,contractual,Fresh Grad / Junior,S1,Media & Entertainment,N/A,N/A,Kalibrr
Full Stack Developer,Itsavirus,Denpasar,2025-02-12,full time,Mid-Senior Level Manager,S1,Internet,N/A,N/A,Kalibrr
IT Infrastructure,Indonesia Stock Exchange,Jakarta,2025-02-05,full time,Fresh Grad / Junior,S1,Financial Technology,N/A,N/A,Kalibrr
IT Operations,AstraPay,Jakarta,2024-08-16,contractual,Mid-Senior Level Manager,S1,Financial Technology,N/A,N/A,Kalibrr
Microsoft Solutions Specialist,Nomura Research Institute Indonesia,Jakarta,2024-10-11,contractual,Mid-Senior Level Manager,S1,Information Technology & Services,10000000,20000000,Kalibrr
Marketing Communications Officer,ToffeeDev,Jakarta,2024-10-29,full time,,S1,Marketing / Advertising / Sales,N/A,N/A,Kalibrr
